,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,variable,motivo
21382,2.0,1.0,,51.0,47.0,155583.0,Departamento,bathrooms,Descartado por dato faltante
21384,2.0,1.0,,46.0,40.0,129168.0,Departamento,bathrooms,Descartado por dato faltante
21390,2.0,1.0,,46.0,40.0,138562.0,Departamento,bathrooms,Descartado por dato faltante
21391,2.0,1.0,,55.0,47.0,176266.0,Departamento,bathrooms,Descartado por dato faltante
21394,2.0,1.0,,51.0,47.0,147672.0,Departamento,bathrooms,Descartado por dato faltante
21398,2.0,1.0,,46.0,40.0,140910.0,Departamento,bathrooms,Descartado por dato faltante
21399,2.0,1.0,,46.0,40.0,136213.0,Departamento,bathrooms,Descartado por dato faltante
21400,2.0,1.0,,51.0,47.0,152946.0,Departamento,bathrooms,Descartado por dato faltante
21429,2.0,1.0,,40.0,40.0,87000.0,Departamento,bathrooms,Descartado por dato faltante
21643,3.0,2.0,,78.0,64.0,130000.0,Departamento,bathrooms,Descartado por dato faltante
21837,5.0,4.0,,260.0,185.0,480000.0,Departamento,bathrooms,Descartado por dato faltante
22173,3.0,2.0,,84.0,84.0,170000.0,Departamento,bathrooms,Descartado por dato faltante
22291,2.0,1.0,,88.0,43.0,125000.0,Departamento,bathrooms,Descartado por dato faltante
22292,2.0,1.0,,38.0,38.0,85000.0,Departamento,bathrooms,Descartado por dato faltante
22415,3.0,2.0,,67.0,55.0,150000.0,PH,bathrooms,Descartado por dato faltante
22814,2.0,1.0,,38.0,38.0,78000.0,Departamento,bathrooms,Descartado por dato faltante
23375,2.0,1.0,,67.0,67.0,149000.0,Departamento,bathrooms,Descartado por dato faltante
23388,2.0,1.0,,56.0,56.0,159000.0,Departamento,bathrooms,Descartado por dato faltante
23439,2.0,1.0,,37.0,37.0,87000.0,Departamento,bathrooms,Descartado por dato faltante
23470,3.0,2.0,,249.0,116.0,350000.0,Casa,bathrooms,Descartado por dato faltante
23501,3.0,2.0,,89.0,85.0,280000.0,Departamento,bathrooms,Descartado por dato faltante
23523,3.0,2.0,,76.0,66.0,295000.0,Departamento,bathrooms,Descartado por dato faltante
23772,1.0,0.0,,40.0,39.0,95000.0,Departamento,bathrooms,Descartado por dato faltante
23779,2.0,1.0,,50.0,41.0,90000.0,PH,bathrooms,Descartado por dato faltante
23790,2.0,1.0,,41.0,41.0,65000.0,Departamento,bathrooms,Descartado por dato faltante
23791,2.0,1.0,,55.0,55.0,140000.0,Departamento,bathrooms,Descartado por dato faltante
23793,2.0,1.0,,70.0,35.0,115000.0,Departamento,bathrooms,Descartado por dato faltante
23794,2.0,1.0,,55.0,48.0,95000.0,Departamento,bathrooms,Descartado por dato faltante
23795,2.0,1.0,,46.0,46.0,132500.0,Departamento,bathrooms,Descartado por dato faltante
23796,2.0,1.0,,42.0,42.0,110000.0,Departamento,bathrooms,Descartado por dato faltante
23798,2.0,1.0,,45.0,40.0,160000.0,Departamento,bathrooms,Descartado por dato faltante
23799,2.0,1.0,,45.0,38.0,80000.0,Departamento,bathrooms,Descartado por dato faltante
